53,ITE00001,38,7,No hay mejor medicina que la alegria
54,CTE00003,66,30,La felicidad no se puede comprar con dinero
55,BTE00003,81,71,Me gusta mas ABCD que este gobierno
56,CTE00003,72,58,El secreto es solo uno creer que todo saldra bien y lo hara
57,ITE00001,36,77,El sueno es la mejor parte de la realidad
58,BTE00003,43,2,Nada es mas contagioso que el ejemplo
59,ITE00002,42,25,Look del dia tranquilidad
60,DTE00009,35,71,La verdad es la verdad en la guerra y en la paz
61,BTE00003,60,69,No importa el color del cielo Quien hace el dia bonito eres tu
62,ITE00001,64,22,Imaginate una nueva historia para tu vida y cree en ella
63,ITE00001,31,8,Que nunca te falte la esperanza de un dia mejor
64,ITE00002,54,85,En la tramaX van a estar metidos un moton de peces gordos
65,DTE00009,95,41,Yo he nacido para ser unico no para ser normal
66,ITE00002,51,50,Estoy candado de oir cosas de la tramaX
67,ITE00001,30,64,Y vienen nuevas historias nuevas sonrisas y nuevas personas
68,DTE00009,32,45,Creo que ABCD tiene muy buenas ideas
69,DTE00009,99,91,Has oido la noticia de la tramaX
70,BTE00003,28,20,Un momento Si todo fuera facil cualquiera seria posible
71,ITE00001,83,10,Nunca es una perdida de tiempo si puedes aprender algo
72,DTE00009,29,96,Deja de tener miedo de lo que podria ir mal y piensa en lo que podria funcionar
73,ITE00002,37,14,Desea al menos por un momento creer que el mundo es perfecto y todo es felicidad
74,ITE00002,37,86,Pensar es el trabajo mas duro lo cual es la probable razon de que pocos lo practiquen
75,ITE00002,34,39,El peor enemigo que puedes llegar a tener eres tu mismo
76,CTE00003,94,80,Es una locura odiar a todas las rosas solo porque una te pincho como renunciar a todos tus suenos solo porque uno de ellos no se cumplio
77,CTE00003,67,89,Ninguna persona tiene siempre la razon ni siquiera tu Cambiar de opinion es algo bueno si no cambias nunca podras dar una mejor version de ti mismo
78,CTE00003,12,49,Es mas facil hacer dano a una persona amada que a una temida
79,ITE00001,33,14,A la cima no se llega superando a los demas sino superandose a si mismo
80,ITE00002,77,82,Si estas nervioso o agobiado para Puede que parezca contradictorio pero parando y respirando durante 10 segundos te relajaras y haras las cosas mejor
81,ITE00001,94,27,Quien controle los medios controla la mente
82,BTE00003,57,74,Si quieres ser rico no te enfoques en ganar dinero sino en disminuir tu avaricia
83,CTE00003,42,96,Estuve ayer en el mitin de ABCD
84,BTE00003,46,23,Mucha gente encuentra infinidad de razones acerca de por que no logran dedicarse a lo que quieren cuando unicamente necesitan una razon sobre por que si pueden
85,ITE00001,6,71,No reces por una vida sencilla reza por la fortaleza de resistir una vida dificil
86,BTE00003,6,21,La vida alcanza su plenitud cuando te separas de lo material para contemplar la belleza intelectual
87,CTE00003,18,86,No todas las heridas que sufriras seran superficiales a menudo esas heridas seran mas profundas de lo que te puedas imaginar y lo peor de todo es que no podras verlas con tus ojos
88,ITE00001,32,18,Lo que tu tienes muchos lo pueden tener pero lo que tu eres nadie lo puede ser
89,ITE00002,14,91,La esencia de la mente independiente no reside en que piensa sino en como piensa
90,BTE00003,80,48,Los seres vivos somos muy raros Nunca pedimos nacer no aprendimos a vivir y nunca aceptaremos morir
91,ITE00001,7,59,Con el tiempo te das cuenta de que en realidad lo mejor no era el futuro sino el momento que estabas viviendo en ese instante
92,ITE00002,45,54,Educad a los ninos y no sera necesario castigar a los hombres
93,DTE00009,11,82,No te dejes atrapar por el dogma lo cual es vivir con los resultados del pensamiento de otros
94,DTE00009,25,10,Se necesitan dos anos para aprender a hablar y sesenta para aprender a callar
95,CTE00003,78,30,Creo que la gente no nace mentirosa miedosa o intolerante supongo que lo aprendemos en el mundo en que vivimos
96,CTE00003,85,79,Daria todo lo que se por la mitad de lo que ignoro
97,CTE00003,84,92,No podemos resolver los problemas con el mismo nivel de pensamiento que los crearon
98,ITE00001,100,34,No juzgues a la gente por como es pues en esa personalidad hay una historia detras que la justifica
99,CTE00003,58,36,No aprenderas a amar cuando encuentres a la persona perfecta sino cuando consigas ver de manera perfecta a alguien imperfecto
100,DTE00009,11,19,Con la moral corregimos los errores de nuestros instintos y con el amor los errores de nuestra moral
